image_path,gt_path,label
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (217).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (217).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (190).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (190).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (79).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (79).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (67).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (67).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (133).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (133).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (87).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (87).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (113).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (113).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (14).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (14).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (62).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (62).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (101).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (101).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (342).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (342).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (364).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (364).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (98).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (98).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (166).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (166).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (362).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (362).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (132).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (132).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (6).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (6).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (206).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (206).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (345).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (345).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (203).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (203).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (374).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (374).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (258).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (258).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (129).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (129).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (157).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (157).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (416).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (416).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (168).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (168).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (112).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (112).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (84).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (84).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (158).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (158).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (57).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (57).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (126).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (126).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (42).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (42).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (152).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (152).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (77).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (77).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (134).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (134).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (132).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (132).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (131).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (131).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (160).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (160).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (210).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (210).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (15).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (15).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (163).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (163).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (19).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (19).png,malignant
