image_path,gt_path,label
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/benign_121.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/benign_121.png,benign
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/benign_108.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/benign_108.png,benign
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/malignant_182.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/malignant_182.png,malignant
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (2).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (2).png,benign
/workspace/shared_files/TFM_Dataset/images/DatasetB/malignant_000133.png,/workspace/shared_files/TFM_Dataset/gt/DatasetB/malignant_000133.png,malignant
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (402).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (402).png,benign
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/benign_177.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/benign_177.png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (59).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (59).png,benign
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/malignant_192.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/malignant_192.png,malignant
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (131).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (131).png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (44).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (44).png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (268).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (268).png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (105).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (105).png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/malignant (179).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/malignant (179).png,malignant
/workspace/shared_files/TFM_Dataset/images/BUSI/malignant (40).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/malignant (40).png,malignant
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (319).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (319).png,benign
/workspace/shared_files/TFM_Dataset/images/BUSI/benign (309).png,/workspace/shared_files/TFM_Dataset/gt/BUSI/benign (309).png,benign
/workspace/shared_files/TFM_Dataset/images/ExpandedUnetPaper/malignant_195.png,/workspace/shared_files/TFM_Dataset/gt/ExpandedUnetPaper/malignant_195.png,malignant
