image_path,gt_path,label
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (283).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (283).png,benign
/workspace/shared_files/Dataset_TFM/images/Dataset_paper1-12/D1-12_malignant_209.png,/workspace/shared_files/Dataset_TFM/gt/Dataset_paper1-12/D1-12_malignant_209.png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (13).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (13).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (95).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (95).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (6).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (6).png,benign
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/malignant_192.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/malignant_192.png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (123).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (123).png,malignant
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/benign_137.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/benign_137.png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (1).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (1).png,malignant
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (363).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (363).png,benign
/workspace/shared_files/Dataset_TFM/images/Dataset_paper1-12/D1-12_benign_395.png,/workspace/shared_files/Dataset_TFM/gt/Dataset_paper1-12/D1-12_benign_395.png,benign
/workspace/shared_files/Dataset_TFM/images/DatasetB/malignant_000136.png,/workspace/shared_files/Dataset_TFM/gt/DatasetB/malignant_000136.png,malignant
/workspace/shared_files/Dataset_TFM/images/Dataset_paper1-12/D1-12_benign_398.png,/workspace/shared_files/Dataset_TFM/gt/Dataset_paper1-12/D1-12_benign_398.png,benign
/workspace/shared_files/Dataset_TFM/images/Dataset_paper1-12/D1-12_benign_386.png,/workspace/shared_files/Dataset_TFM/gt/Dataset_paper1-12/D1-12_benign_386.png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (165).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (165).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (68).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (68).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/normal (30).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/normal (30).png,normal
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (60).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (60).png,benign
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/malignant_186.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/malignant_186.png,malignant
/workspace/shared_files/Dataset_TFM/images/Dataset_paper1-12/D1-12_benign_369.png,/workspace/shared_files/Dataset_TFM/gt/Dataset_paper1-12/D1-12_benign_369.png,benign
/workspace/shared_files/Dataset_TFM/images/DatasetB/benign_000119.png,/workspace/shared_files/Dataset_TFM/gt/DatasetB/benign_000119.png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (105).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (105).png,benign
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/benign_110.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/benign_110.png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (8).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (8).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/benign (185).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/benign (185).png,benign
/workspace/shared_files/Dataset_TFM/images/BUSI/malignant (46).png,/workspace/shared_files/Dataset_TFM/gt/BUSI/malignant (46).png,malignant
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/benign_42.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/benign_42.png,benign
/workspace/shared_files/Dataset_TFM/images/DatasetB/benign_000086.png,/workspace/shared_files/Dataset_TFM/gt/DatasetB/benign_000086.png,benign
/workspace/shared_files/Dataset_TFM/images/DatasetB/benign_000106.png,/workspace/shared_files/Dataset_TFM/gt/DatasetB/benign_000106.png,benign
/workspace/shared_files/Dataset_TFM/images/DatasetB/malignant_000143.png,/workspace/shared_files/Dataset_TFM/gt/DatasetB/malignant_000143.png,malignant
/workspace/shared_files/Dataset_TFM/images/ExpandedUnetPaper/benign_139.png,/workspace/shared_files/Dataset_TFM/gt/ExpandedUnetPaper/benign_139.png,benign
